biosample_id	geo_loc_name	asserted_lat	asserted_lon	inferred_lat	inferred_lon	distance_meters	asserted_elev	inferred_elev	elev_difference_meters	asserted_env_broad_scale_id	asserted_env_broad_scale_name	asserted_env_local_scale_id	asserted_env_local_scale_name	asserted_env_medium_id	asserted_env_medium_name
nmdc:bsm-11-002vgm56	USA: Alaska, Healy	63.875088	-149.210438	63.950262	-149.0258707	12301.2	677.6	673.0	4.600000000000023	ENVO:00000446	terrestrial biome	ENVO:01000861	area of dwarf scrub	ENVO:00001998	soil
nmdc:bsm-11-006pnx90	USA: Michigan, Kellogg Biological Station	42.39	-85.37	42.4118364	-85.3877345	2831.3	286.0	275.0	11.0	ENVO:01001442	agricultural biome	ENVO:01001442	phyllosphere biome	ENVO:01001001	plant-associated biome
nmdc:bsm-11-00dkyf35	USA: California, San Joaquin Experimental Range	37.110011	-119.735218	37.1027423	-119.7331623	828.5	381.8	406.0	24.19999999999999	ENVO:00000446	terrestrial biome	ENVO:01000843	area of evergreen forest	ENVO:00001998	soil
nmdc:bsm-11-00f5nh68	USA: Wisconsin, Oregon	42.966111	-89.35611	42.9259657	-89.3842779	5018.3	297.0	291.0	6.0	ENVO:01000221	temperate woodland biome	ENVO:00000114	agricultural field	ENVO:00005749	farm soil
nmdc:bsm-11-00n3rq22	USA: Michigan, Lake City	44.296098	-85.199612	44.335287	-85.215046	4527.3	372.0	377.0	5.0	ENVO:01000221	temperate woodland biome	ENVO:00000114	agricultural field	ENVO:00005749	farm soil
nmdc:bsm-11-00yhef97	USA: Georgia, The Jones Center At Ichauway	31.189774	-84.465861	31.2408992	-84.4775134	5791.9	44.8	47.0	2.200000000000003	ENVO:00000446	terrestrial biome	ENVO:01000892	area of cropland	ENVO:00001998	soil
nmdc:bsm-11-011z7z70	USA: Oregon	44.5881	-123.1926	43.9792797	-120.737257	206835.6	62.0	61.0	1.0	ENVO:00000446	terrestrial biome	ENVO:00005801	rhizosphere	ENVO:00001998	soil
nmdc:bsm-11-0169zs66	USA: California	34.4149	-119.841	36.7014631	-118.755997	272534.7		10.0		ENVO:01001002	animal-associated environment	UBERON:0001555	digestive tract	ENVO:00002003	fecal material
nmdc:bsm-11-01bbrr08	USA: AK, Fairbanks North Star	64.8558	-147.8335	64.8649039	-146.7751619	50004.0		134.0		ENVO:00000446		ENVO:01000219		ENVO:00001998	soil
nmdc:bsm-11-01bwgx44	USA: Wisconsin, Hancock	44.119417	-89.533806	44.133584	-89.523177	1789.2	332.0	333.0	1.0	ENVO:01000221	temperate woodland biome	ENVO:00000114	agricultural field	ENVO:00005749	farm soil
nmdc:bsm-11-01f6m423	USA: Texas, Lyndon B. Johnson National Grassland	33.414259	-97.597098	33.36984	-97.593456	4950.7	281	274.0	7.0	ENVO:00000446	terrestrial biome	ENVO:01000816	area of deciduous forest	ENVO:00001998	soil
nmdc:bsm-11-01g9wf51	USA: New Hampshire, Bartlett Experimental Forest	44.062082	-71.285878	44.060006	-71.2978166	981.5	291	283.0	8.0	ENVO:00000446	terrestrial biome	ENVO:01000816	area of deciduous forest	ENVO:00001998	soil
nmdc:bsm-11-01gd8h56	USA: Iowa, Ames	42.013	-93.743	42.0267567	-93.6170448	10516.8	325.0	328.0	3.0	ENVO:01000245	cropland biome	ENVO:00000078	farm	ENVO:00005802	bulk soil
nmdc:bsm-11-01jah904	USA: AK, North Slope	68.627175	-149.590514	69.5335129	-153.8220681	195853.8		742.0		ENVO:00000446		ENVO:01000861		ENVO:00001998	soil
nmdc:bsm-11-01jttz71	USA: Michigan, Delton	42.476365	-85.451887	42.4997581	-85.4080641	4436.0	298.0	280.0	18.0	ENVO:01000221	temperate woodland biome	ENVO:00000114	agricultural field	ENVO:00005749	farm soil
nmdc:bsm-11-01teww33	USA: Oregon	44.5878	-123.1936	43.9792797	-120.737257	206900.4	62.0	61.0	1.0	ENVO:00000446	terrestrial biome	ENVO:00000011	garden	ENVO:00005802	bulk soil
nmdc:bsm-11-01vt2q72	USA: MD, Anne Arundel	38.890131	-76.560014	38.9722583	-76.573454	9205.8		15.0		ENVO:00000446		ENVO:01000816		ENVO:00001998	
nmdc:bsm-11-026r0w03	USA: Iowa, Ames	42.013	-93.743	42.0267567	-93.6170448	10516.8	325.0	328.0	3.0	ENVO:01000245	cropland biome	ENVO:00000078	farm	ENVO:00005802	bulk soil
nmdc:bsm-11-026rze76	USA: Michigan, Lake City	44.296098	-85.199652	44.335287	-85.215046	4526.5	500.0	377.0	123.0	ENVO:01000221	temperate woodland biome	ENVO:00000114	agricultural field	ENVO:00005749	farm soil
nmdc:bsm-11-02kcw433	USA: Utah, Onaqui	40.185938	-112.47248	40.2106006	-112.5610339	8005.5	1713.7	1709.0	4.7000000000000455	ENVO:00000446	terrestrial biome	ENVO:01000869	area of scrub	ENVO:00001998	soil
nmdc:bsm-11-02n85875	USA: North Dakota, Chase Lake National Wildlife Refuge	47.12829	-99.243528	47.0073926	-99.4455091	20365.1	586.4	579.0	7.399999999999977	ENVO:00000446	terrestrial biome	ENVO:01000888	area of gramanoid or herbaceous vegetation	ENVO:00001998	soil
nmdc:bsm-11-02pbkx79	USA: Michigan, Delton	42.476365	-85.451887	42.4997581	-85.4080641	4436.0	500.0	280.0	220.0	ENVO:01000221	temperate woodland biome	ENVO:00000114	agricultural field	ENVO:00005749	farm soil
nmdc:bsm-11-02v78297	USA: Georgia, The Jones Center At Ichauway	31.196458	-84.461913	31.2408992	-84.4775134	5159.5	47.6	46.0	1.6000000000000014	ENVO:00000446	terrestrial biome	ENVO:01000843	area of evergreen forest	ENVO:00001998	soil
nmdc:bsm-11-02x97z84	Puerto Rico: Rio Grande	18.321	-65.8172	18.3474409	-65.8163814	2941.4		498.0		ENVO:01000174		ENVO:01001803		ENVO:00005778	
nmdc:bsm-11-034x5t48	USA: Texas, Lyndon B. Johnson National Grassland	33.397987	-97.568339	33.36984	-97.593456	3903.1	278.1	275.0	3.1000000000000227	ENVO:00000446	terrestrial biome	ENVO:01000816	area of deciduous forest	ENVO:00001998	soil
nmdc:bsm-11-038c0a54	USA: Michigan, Escanaba	45.763274	-87.187681	45.7455707	-87.0647434	9739.1	217.0	217.0	0.0	ENVO:01000221	temperate woodland biome	ENVO:00000114	agricultural field	ENVO:00005749	farm soil
nmdc:bsm-11-038rtm46	USA: Iowa, Ames	42.013	-93.743	42.0267567	-93.6170448	10516.8	325.0	328.0	3.0	ENVO:01000245	cropland biome	ENVO:00000078	farm	ENVO:00005802	bulk soil
nmdc:bsm-11-03c88471	USA: Wisconsin	43.0995	-89.4045	44.4308975	-89.6884637	149790.2	258.0	259.0	1.0	ENVO:01000252	freshwater lake biome	ENVO:00002131	epilimnion	ENVO:04000007	lake water
nmdc:bsm-11-03cvvh77	USA: Wisconsin, Rhinelander	45.665551	-89.218093	45.636623	-89.412075	15417.2	500.0	487.0	13.0	ENVO:01000221	temperate woodland biome	ENVO:00000114	agricultural field	ENVO:00005749	farm soil
nmdc:bsm-11-03rbrx77	USA: Michigan, Escanaba	45.763274	-87.187681	45.7455707	-87.0647434	9739.1	217.0	217.0	0.0	ENVO:01000221	temperate woodland biome	ENVO:00000114	agricultural field	ENVO:00005749	farm soil
nmdc:bsm-11-03wdqa25	USA: Virginia, Mountain Lake Biological Station	37.368528	-80.526975	37.3637602	-80.5226996	651.0	1223.1	1171.0	52.09999999999991	ENVO:00000446	terrestrial biome	ENVO:01000816	area of deciduous forest	ENVO:00001998	soil
nmdc:bsm-11-042nd237	USA: Massachusetts, Petersham	42.481016	-72.178343	42.4883041	-72.1866162	1056.9	302.0	297.0	5.0	ENVO:01000174	forest biome	ENVO:03600011	mineral horizon	ENVO:00002261	forest soil
nmdc:bsm-11-0435yq18	USA: Michigan, Kellogg Biological Station	42.39	-85.37	42.4118364	-85.3877345	2831.3	286.0	275.0	11.0	ENVO:01001442	agricultural biome	ENVO:01001442	phyllosphere biome	ENVO:01001001	plant-associated biome
nmdc:bsm-11-044gzn43	USA: Washington	46.2530248	-119.47723	38.8950368	-77.0365427	3525605.5		152.0		ENVO:01000253		ENVO:00000022	river	ENVO:00002007	sediment
nmdc:bsm-11-047eb087	USA: Iowa, Ames	42.013	-93.743	42.0267567	-93.6170448	10516.8	325.0	328.0	3.0	ENVO:01000245	cropland biome	ENVO:00000078	farm	ENVO:00005802	bulk soil
nmdc:bsm-11-04bta395	USA: Michigan, University of Notre Dame Environmental Research Center	46.254613	-89.512657	46.232455	-89.5204851	2536.3	530	518.0	12.0	ENVO:00000446	terrestrial biome	ENVO:01000816	area of deciduous forest	ENVO:00001998	soil
nmdc:bsm-11-04kd7a87	USA: Alaska, Healy	63.873367	-149.216447	63.950262	-149.0258707	12647.1	691	705.0	14.0	ENVO:00000446	terrestrial biome	ENVO:01000869	area of scrub	ENVO:00001998	soil
nmdc:bsm-11-04md1t87	USA: Wisconsin, Hancock	44.119417	-89.533806	44.133584	-89.523177	1789.2	332.0	333.0	1.0	ENVO:01000221	temperate woodland biome	ENVO:00000114	agricultural field	ENVO:00005749	farm soil
nmdc:bsm-11-04t36j23	USA: Wisconsin	43.0995	-89.4045	44.4308975	-89.6884637	149790.2	258.0	259.0	1.0	ENVO:01000252	freshwater lake biome	ENVO:00000021	freshwater lake	ENVO:04000007	lake water
nmdc:bsm-11-04t67s02	USA: Iowa, Ames	42.013	-93.743	42.0267567	-93.6170448	10516.8	325.0	328.0	3.0	ENVO:01000245	cropland biome	ENVO:00000078	farm	ENVO:00005802	bulk soil
nmdc:bsm-11-04tyx479	USA: California	34.4148	-119.8405	36.7014631	-118.755997	272528.8		10.0		ENVO:01001002	animal-associated environment	UBERON:0001555	digestive tract	ENVO:00002003	fecal material
nmdc:bsm-11-04vy6f77	USA: Michigan, Delton	42.476365	-85.451887	42.4997581	-85.4080641	4436.0	298.0	280.0	18.0	ENVO:01000221	temperate woodland biome	ENVO:00000114	agricultural field	ENVO:00005749	farm soil
nmdc:bsm-11-04wp3b78	USA: TN, Sevier	35.68896	-83.50195	35.8047065	-83.5291901	13103.1		600.0		ENVO:00000446		ENVO:01000816		ENVO:00001998	
nmdc:bsm-11-04z8tj85	USA: MA, Harvard Forest	42.510139	-72.212583	42.5366748	-72.1810985	3919.6		240.0		ENVO:01000215	temperate shrubland biome	ENVO:01001209	wetland ecosystem	ENVO:00002006	liquid water
nmdc:bsm-11-0533mp26	USA: Wisconsin, Hancock	44.119417	-89.533806	44.133584	-89.523177	1789.2	332.0	333.0	1.0	ENVO:01000221	temperate woodland biome	ENVO:00000114	agricultural field	ENVO:00005749	farm soil
nmdc:bsm-11-05d5a977	USA: Wisconsin	43.0995	-89.4045	44.4308975	-89.6884637	149790.2	258.0	259.0	1.0	ENVO:01000252	freshwater lake biome	ENVO:00002131	epilimnion	ENVO:04000007	lake water
nmdc:bsm-11-05dve909	USA: Oregon	44.5876	-123.1939	43.9792797	-120.737257	206916.0	62.0	61.0	1.0	ENVO:00000446	terrestrial biome	ENVO:00005801	rhizosphere	ENVO:00001998	soil
nmdc:bsm-11-05fh0s26	USA: California, Davis	38.5382	-121.7617	38.5435526	-121.739005	2061.6	23.1648	17.0	6.1648	ENVO:01001002	Animal-associated environment	UBERON:0001153	caecum	UBERON:0035118	material entity in digestive tract
nmdc:bsm-11-05m5kp37	Puerto Rico: Rio Grande	18.321	-65.8172	18.3474409	-65.8163814	2941.4		498.0		ENVO:01000174		ENVO:01001803		ENVO:00005778	
nmdc:bsm-11-05t3df21	USA: Texas, Lyndon B. Johnson National Grassland	33.406134	-97.593996	33.36984	-97.593456	4036.0	289.9	289.0	0.8999999999999773	ENVO:00000446	terrestrial biome	ENVO:01000888	area of gramanoid or herbaceous vegetation	ENVO:00001998	soil
nmdc:bsm-11-05yzsw39	USA: AK, Fairbanks North Star	64.8558	-147.8335	64.8649039	-146.7751619	50004.0		134.0		ENVO:00000446		ENVO:01000219		ENVO:00001998	soil
nmdc:bsm-11-063svk49	USA: Tennessee, Oak Ridge	35.982199	-84.212753	36.0103562	-84.2696449	5999.9	308.2	246.0	62.19999999999999	ENVO:00000446	terrestrial biome	ENVO:01000816	area of deciduous forest	ENVO:00001998	soil
nmdc:bsm-11-06bhy091	USA: Tennessee, Oak Ridge	35.938227	-84.32368	36.0103562	-84.2696449	9379.3	280.7	323.0	42.30000000000001	ENVO:00000446	terrestrial biome	ENVO:01000816	area of deciduous forest	ENVO:00001998	soil
nmdc:bsm-11-06dh4270	USA: Alabama, Talladega National Forest	32.948795	-87.397268	32.9349471	-87.3948069	1556.8	123.3	108.0	15.299999999999997	ENVO:00000446	terrestrial biome	ENVO:01000843	area of evergreen forest	ENVO:00001998	soil
nmdc:bsm-11-06dzrg11	USA: Arizona, Santa Rita Experimental Range	31.909824	-110.835912	31.8334182	-110.8528643	8645.4	996.7	983.0	13.700000000000045	ENVO:00000446	terrestrial biome	ENVO:01000869	area of scrub	ENVO:00001998	soil
nmdc:bsm-11-06ea4y10	USA: Oregon, Boardman	45.83986	-119.70058	45.839855	-119.700583	0.6	95.0	91.0	4.0	ENVO:01000177	grassland biome	ENVO:00000011	garden	ENVO:00005801	rhizosphere
nmdc:bsm-11-06evpv96	USA: Michigan, Delton	42.476365	-85.451887	42.4997581	-85.4080641	4436.0	298.0	280.0	18.0	ENVO:01000221	temperate woodland biome	ENVO:00000114	agricultural field	ENVO:00005749	farm soil
nmdc:bsm-11-06g2dc22	Western Australia: Coral Bay	-23.140369	113.769166	-23.1436752	113.770165	381.6	0.0	1.0	1.0	ENVO:01000029	marine reef biome	ENVO:00000150	coral reef	ENVO:01000155	organic material
nmdc:bsm-11-06hvfb08	USA: Utah, Onaqui	40.180775	-112.431854	40.2106006	-112.5610339	11462.2	1614.4	1620.0	5.599999999999909	ENVO:00000446	terrestrial biome	ENVO:01000869	area of scrub	ENVO:00001998	soil
nmdc:bsm-11-06mvg980	USA: Michigan, Kellogg Biological Station	42.39	-85.37	42.4118364	-85.3877345	2831.3	286.0	275.0	11.0	ENVO:01001442	agricultural biome	ENVO:01001442	phyllosphere biome	ENVO:01001001	plant-associated biome
nmdc:bsm-11-06npav11	USA: Michigan, Lake City	44.296098	-85.199683	44.335287	-85.215046	4525.8	500.0	377.0	123.0	ENVO:01000221	temperate woodland biome	ENVO:00000114	agricultural field	ENVO:00005749	farm soil
nmdc:bsm-11-06pa9m89	Singapore	1.434767476	103.7112433	1.357107	103.8194992	14811.7		1.0		ENVO:01000245		ENVO:00000119		ENVO:02000059	
nmdc:bsm-11-06qrej20	USA: Washington, Abby Road	45.76858	-122.298736	47.137935	-119.2978422	275712.0	586.1	655.0	68.89999999999998	ENVO:00000446	terrestrial biome	ENVO:01000869	area of scrub	ENVO:00001998	soil
nmdc:bsm-11-06rrsv58	USA: Michigan, Lake City	44.296098	-85.199612	44.335287	-85.215046	4527.3	372.0	377.0	5.0	ENVO:01000221	temperate woodland biome	ENVO:00000114	agricultural field	ENVO:00005749	farm soil
nmdc:bsm-11-06ry4a86	USA: Wisconsin	43.0995	-89.4045	44.4308975	-89.6884637	149790.2	258.0	259.0	1.0	ENVO:01000252	freshwater lake biome	ENVO:00002131	epilimnion	ENVO:04000007	lake water
nmdc:bsm-11-06tgpb52	USA: Colorado, Rocky Mountains	40.275899	-105.546756	39.7271888	-104.9991566	76800.1	2749.4	2743.0	6.400000000000091	ENVO:00000446	terrestrial biome	ENVO:01000843	area of evergreen forest	ENVO:00001998	soil
nmdc:bsm-11-06xe5s91	USA: Iowa, Ames	42.013	-93.743	42.0267567	-93.6170448	10516.8	325.0	328.0	3.0	ENVO:01000245	cropland biome	ENVO:00000078	farm	ENVO:00005802	bulk soil
nmdc:bsm-11-071rdf83	USA: California, Davis	38.5382	-121.7617	38.5435526	-121.739005	2061.6	23.1648	17.0	6.1648	ENVO:01001002	Animal-associated environment	UBERON:0001153	caecum	UBERON:0035118	material entity in digestive tract
nmdc:bsm-11-072a9s43	USA: Wisconsin, Treehaven	45.493228	-89.582708	45.4921665	-89.5638439	1475.1	457.0	469.0	12.0	ENVO:00000446	terrestrial biome	ENVO:01000816	area of deciduous forest	ENVO:00001998	soil
nmdc:bsm-11-073y9h82	USA: Michigan, Escanaba	45.763274	-87.187681	45.7455707	-87.0647434	9739.1	217.0	217.0	0.0	ENVO:01000221	temperate woodland biome	ENVO:00000114	agricultural field	ENVO:00005749	farm soil
nmdc:bsm-11-074phz40	USA: California, San Joaquin Experimental Range	37.112827	-119.731615	37.1027423	-119.7331623	1129.7	412.9	411.0	1.8999999999999773	ENVO:00000446	terrestrial biome	ENVO:01000843	area of evergreen forest	ENVO:00001998	soil
nmdc:bsm-11-078st260	USA: Michigan, Lake City	44.296098	-85.199612	44.335287	-85.215046	4527.3	372.0	377.0	5.0	ENVO:01000221	temperate woodland biome	ENVO:00000114	agricultural field	ENVO:00005749	farm soil
nmdc:bsm-11-07ar1j63	USA: Tennessee, Oak Ridge	35.957646	-84.261838	36.0103562	-84.2696449	5903.0	272.5	302.0	29.5	ENVO:00000446	terrestrial biome	ENVO:01000843	area of evergreen forest	ENVO:00001998	soil
nmdc:bsm-11-07dyqv24	USA: Utah, Onaqui	40.205921	-112.430276	40.2106006	-112.5610339	11116.1	1610.9	1617.0	6.099999999999909	ENVO:00000446	terrestrial biome	ENVO:01000869	area of scrub	ENVO:00001998	soil
nmdc:bsm-11-07hz4140	Ukraine: Chernobyl	50.5269	30.4439	51.2705477	30.2195609	84173.1		106.0		ENVO:01000212	temperate mixed forest biome	ENVO:01001002	animal-associated environment	ENVO:00002003	fecal material
nmdc:bsm-11-07js9c68	USA: Wisconsin	43.0995	-89.4045	44.4308975	-89.6884637	149790.2	258.0	259.0	1.0	ENVO:01000252	freshwater lake biome	ENVO:00002131	epilimnion	ENVO:04000007	lake water
nmdc:bsm-11-07nqms41	USA: Michigan, Kellogg Biological Station	42.39	-85.37	42.4118364	-85.3877345	2831.3	286.0	275.0	11.0	ENVO:01001442	agricultural biome	ENVO:01001442	phyllosphere biome	ENVO:01001001	plant-associated biome
nmdc:bsm-11-07pb3642	Costa Rica: Puerto Viejo, La Selva Biological Station	10.43162	-84.00306	10.4246602	-84.0064343	857.4		57.0		ENVO:01000200	tropical broadleaf forest biome	ENVO:01001002	animal-associated environment	ENVO:01000155	organic material
nmdc:bsm-11-07qp3e36	USA: Michigan, Kellogg Biological Station	42.39	-85.37	42.4118364	-85.3877345	2831.3	286.0	275.0	11.0	ENVO:01001442	agricultural biome	ENVO:01001442	phyllosphere biome	ENVO:01001001	plant-associated biome
nmdc:bsm-11-07qq9z23	USA: New Hampshire, Bartlett Experimental Forest	44.055247	-71.263146	44.060006	-71.2978166	2820.6	439	421.0	18.0	ENVO:00000446	terrestrial biome	ENVO:01000816	area of deciduous forest	ENVO:00001998	soil
nmdc:bsm-11-07spy989	USA: Colorado	38.920406451	-106.948476151	38.7251776	-105.607716	118161.0		2777.0		ENVO:01000177		ENVO:00000292		ENVO:00005802	
nmdc:bsm-11-07t6sw54	USA: Michigan, Delton	44.296098	-85.199612	42.4997581	-85.4080641	200452.4	500.0	377.0	123.0	ENVO:01000221	temperate woodland biome	ENVO:00000114	agricultural field	ENVO:00005749	farm soil
nmdc:bsm-11-07vzav23	USA: Michigan, Delton	42.476365	-85.451887	42.4997581	-85.4080641	4436.0	500.0	280.0	220.0	ENVO:01000221	temperate woodland biome	ENVO:00000114	agricultural field	ENVO:00005749	farm soil
nmdc:bsm-11-0806bb27	USA: AK, North Slope	68.627175	-149.590514	69.5335129	-153.8220681	195853.8		742.0		ENVO:00000446		ENVO:01000861		ENVO:00001998	soil
